id;source_type;mc_campaingn_id;tml_campaign_id;lat;lng;radius;open_angle;directional_angle;create_date;create_uid;last_update;last_update_uid
1;Israeli;ADP;interfaces Bran;bus virtual;input Awesome;83370;84198;14891;2022-04-19T06:12:59;HTTP Licensed C;2022-04-19T02:16:39;copying Associa
2;Accountability TCP;Factors;Shoes metrics;sensor;microchip;68009;97167;15729;2022-04-18T19:29:10;Trafficway;2022-04-19T06:00:53;Minnesota morph
3;revolutionary calcul;payment frictio;Kids virtual;Dynamic schemas;Steel;28755;1908;82999;2022-04-19T11:44:03;proactive Commu;2022-04-19T00:12:04;primary Account
4;Automotive discrete;connecting;1080p Down-size;AGP world-class;Plastic enable;25427;8520;97029;2022-04-19T10:32:38;Central;2022-04-19T09:05:24;XML Circles imp
5;Account;Officer;salmon plum;withdrawal;bluetooth Proac;25676;43236;80377;2022-04-19T06:43:35;Steel bus;2022-04-19T02:51:40;Central Unbrand
6;Buckinghamshire appl;Virginia Maryla;portals;mindshare Gorge;Metrics Table;61867;4502;69758;2022-04-19T08:31:53;utilize Assista;2022-04-19T13:45:55;concept multi-b
7;seamless Unions;Pizza;Home Bedfordshi;EXE Berkshire b;Planner conting;46226;88672;7964;2022-04-19T01:53:00;New auxiliary c;2022-04-19T09:19:51;Optional Distri
8;Multi-layered New or;Fresh Tugrik;synthesizing sy;Product Ball Ma;viral synergize;32146;78557;10692;2022-04-18T16:35:42;Dale;2022-04-18T16:04:38;leading Junctio
9;Account;Computers Home;Borders SQL;Tennessee invoi;cutting-edge;65051;91190;57720;2022-04-19T06:33:30;well-modulated ;2022-04-18T17:48:07;programming
10;Electronics Division;hacking archite;Mountain;calculate backi;Wooden;53443;33684;96922;2022-04-19T06:28:49;Mexico;2022-04-19T05:05:23;payment Marylan
