id;signal_connection_strength;create_date;create_uid;last_update;last_update_uid;coordinate_id;object_id
1;91514;2022-04-19T01:41:31;maroon;2022-04-19T10:49:58;CFP Networked D;1;1
2;50872;2022-04-19T09:50:28;Customer 24/7;2022-04-19T15:21:38;compressing ove;2;2
3;15464;2022-04-18T16:19:51;Dynamic instruc;2022-04-18T19:23:05;Consultant;3;3
4;75493;2022-04-19T12:11:36;Frozen synthesi;2022-04-18T21:27:26;Buckinghamshire;4;4
5;41119;2022-04-18T17:52:24;Fantastic;2022-04-19T12:10:13;Incredible Stra;5;5
6;43745;2022-04-18T22:03:45;card Grocery;2022-04-19T12:59:00;Fish Loan Loan;6;6
7;37964;2022-04-19T02:35:21;Fantastic Conne;2022-04-19T05:39:45;deliverables Av;7;7
8;28070;2022-04-19T10:16:20;Illinois;2022-04-19T01:54:27;Credit Home gen;8;8
9;78876;2022-04-19T08:05:48;backing Steel w;2022-04-18T18:19:51;Supervisor;9;9
10;63543;2022-04-19T07:26:15;reinvent Cambri;2022-04-19T07:47:18;Borders;10;10
