id;name;mc_user_id;address;lat;lng;status;create_date;create_uid;last_update;last_update_uid
1;revolutionize program;Small deposit;COM;initiatives;Plastic;true;2022-04-19T02:36:38;capacitor virtu;2022-04-19T02:24:22;Soap Proactive
2;Ball bypassing;Handcrafted;dynamic Creative;Romania Avon generat;Communications Robus;true;2022-04-18T20:28:11;neural;2022-04-18T20:18:39;initiatives cro
3;Tasty fresh-thinking;Forge neural in;Tunnel;Pizza Borders Fresh;Village Towels navig;true;2022-04-19T06:09:47;connecting Saus;2022-04-19T13:22:29;Avon
4;Denar;white infrastru;Fantastic Executive;hacking;Sausages application;true;2022-04-19T14:55:27;teal Gorgeous;2022-04-19T01:25:39;monitor program
5;Dynamic engage indigo;Web Loan Street;system;Franc online Practic;Tasty;false;2022-04-18T21:37:36;Mount;2022-04-19T08:58:26;Shirt Pants
6;support invoice Greenland;HDD SAS web-rea;withdrawal;maximize Synergistic;withdrawal;true;2022-04-19T10:31:30;innovative;2022-04-19T06:37:32;experiences Cam
7;drive Fresh;Norfolk Metrics;salmon;cross-platform progr;adapter Grocery Oper;false;2022-04-19T03:34:39;Credit input;2022-04-18T22:10:44;Sleek up
8;Avon;Borders Solomon;Checking;Cyprus;Fresh;false;2022-04-18T20:09:16;Refined;2022-04-19T05:34:04;Lempira compres
9;generate Chips Re-contextualized;Shoes multi-sta;Ergonomic deploy Cambridgeshire;Wooden;Ergonomic TCP;true;2022-04-19T10:35:56;Central;2022-04-19T11:19:42;salmon Books Fu
10;override District quantify;back-end;static Practical;Garden;Incredible;false;2022-04-18T20:09:34;invoice Handcra;2022-04-19T15:25:36;driver withdraw
