id;mc_user_id;type;create_date;create_uid;last_update;last_update_uid
1;Iowa;Electronics withdrawal Kwacha;2022-04-19T02:10:16;Plastic;2022-04-19T01:35:57;Checking
2;Producer Developer intermediate;web-enabled Generic morph;2022-04-18T19:48:45;Shoes Handmade ;2022-04-19T13:16:46;Baby
3;Well alarm;turquoise;2022-04-19T06:24:54;deposit;2022-04-19T13:38:00;Account Bike
4;Borders;olive integrate;2022-04-18T17:07:47;invoice eyeball;2022-04-18T17:27:08;cohesive Granit
5;payment Borders;infomediaries;2022-04-18T19:59:48;repurpose;2022-04-19T06:19:41;Shoes Concrete 
6;Lead;Kansas Buckinghamshire SSL;2022-04-19T12:53:34;24/365 violet;2022-04-19T06:15:54;pixel
7;HTTP lavender;deploy capacitor Brand;2022-04-19T08:59:03;Granite Factors;2022-04-18T19:13:42;Avon Steel GB
8;regional back-end Plastic;Executive rich deposit;2022-04-19T00:17:58;withdrawal Acco;2022-04-19T08:55:34;Coordinator
9;hacking;Finland collaborative;2022-04-19T01:38:21;HDD Meadow Chee;2022-04-18T17:10:53;PNG
10;Bike;York Minnesota Credit;2022-04-19T06:03:57;synthesize;2022-04-19T14:13:40;platforms
