id;create_date;create_uid;last_update;last_update_uid;tracking_list_id;mc_target_id
1;2022-04-18T22:18:43;invoice;2022-04-18T18:06:46;Cotton regional;1;1
2;2022-04-18T15:56:21;calculate;2022-04-19T13:40:54;parsing Focused;2;2
3;2022-04-19T06:34:33;blockchains fuc;2022-04-19T07:45:36;payment compres;3;3
4;2022-04-18T17:09:32;Strategist Avon;2022-04-19T11:36:37;Rubber Salad;4;4
5;2022-04-19T13:02:28;Chips connectin;2022-04-18T21:56:13;quantifying;5;5
6;2022-04-19T11:28:43;incubate paymen;2022-04-18T22:43:34;Account invoice;6;6
7;2022-04-19T04:11:01;Metal USB Surin;2022-04-19T04:29:37;Handmade Enhanc;7;7
8;2022-04-19T01:10:37;XSS;2022-04-18T20:19:42;Central Investm;8;8
9;2022-04-18T21:34:22;Port Wooden Dol;2022-04-19T07:29:15;Handcrafted Hom;9;9
10;2022-04-19T09:20:53;Quality Lari op;2022-04-19T09:56:10;Guam navigate A;10;10
