id;mc_user_id;warning_distance;show_warning_circle;show_warning_message;warning_message;send_warning_message_to_mc;create_date;create_uid;last_update;last_update_uid;warning_rule_id
1;interface neura;methodical adapter Human;true;true;methodology Soft system;false;2022-04-19T03:58:59;Credit;2022-04-19T01:02:55;Electronics aux;1
2;out-of-the-box ;schemas grey;true;false;SAS Cheese Metal;true;2022-04-19T02:14:10;1080p;2022-04-19T08:55:07;Rubber Buckingh;2
3;Team-oriented q;City;true;false;Savings Health;false;2022-04-19T09:15:26;synthesize Supe;2022-04-19T15:24:45;Plastic revolut;3
4;Pennsylvania Pr;hacking;true;true;analyzing XML;true;2022-04-19T04:07:26;Team-oriented;2022-04-18T21:20:07;productize;4
5;Tuna;Administrator synergistic;false;false;Assistant Loan;true;2022-04-18T18:56:40;matrices market;2022-04-18T21:20:21;Tuna FTP;5
6;bottom-line;Avon Turkmenistan;true;true;Sausages;false;2022-04-19T02:55:22;Account Zimbabw;2022-04-18T19:17:32;transmit Open-a;6
7;model Senior;Cotton Configuration AGP;true;false;channels;true;2022-04-19T05:42:36;disintermediate;2022-04-19T07:24:02;Pound reboot TC;7
8;Devolved Car co;Dominican;true;false;primary Hills sky;false;2022-04-18T22:35:13;matrices withdr;2022-04-18T22:30:56;multi-state;8
9;deposit;compress infomediaries attitude;false;false;Outdoors;true;2022-04-18T19:55:47;Buckinghamshire;2022-04-19T14:25:34;artificial Smal;9
10;Extended Fall;Shirt Account;true;false;optimize;true;2022-04-19T15:08:25;Fresh navigatin;2022-04-18T23:54:57;Shoes drive;10
