id;name;mc_user_id;delay_check;delay_check_unit;condition_type;include_mc_campaign_id;include_mc_target_id;warning_distance;show_warning_circle;show_warning_message;warning_message;send_warning_message_to_mc;status;create_date;create_uid;last_update;last_update_uid
1;digital protocol Producer;Club Buckingham;69985;Manor;Credit;Bacon;object-oriented;44990;true;false;Executive vortals;false;false;2022-04-19T01:26:56;program Clothin;2022-04-19T10:24:12;Games
2;XML;orchestrate Acc;73912;Specialist Bedf;Bolivar Liechtenstei;Stream quantify;Pizza;34710;false;false;Sleek Circle;true;true;2022-04-18T23:32:05;repurpose quant;2022-04-18T19:30:41;withdrawal
3;Gorgeous;mindshare open-;59157;asynchronous by;port Plastic;payment Shoes;overriding with;61143;true;false;Account syndicate;true;true;2022-04-19T13:43:34;Strategist;2022-04-19T00:57:27;Gorgeous Reacti
4;back Down-sized;Washington init;50654;Intelligent;Horizontal Account D;connect Direct;invoice Pine;97138;false;false;Sleek Concrete Romania;true;true;2022-04-19T03:16:58;digital;2022-04-18T22:43:51;high-level
5;Granite Licensed solution;Cotton;22224;Cloned;Ranch Cuba Georgia;toolset Pizza b;invoice Fresh S;60562;true;false;Direct;true;false;2022-04-19T05:40:51;blue project;2022-04-19T04:20:05;Integration
6;Licensed;web-enabled Sof;56444;Buckinghamshire;matrix Bedfordshire;cross-media;niches Oklahoma;63104;false;true;connecting;false;false;2022-04-18T18:33:51;Bike Industrial;2022-04-18T18:27:58;blockchains
7;Facilitator generate Global;AGP connecting;98721;Gambia Kazakhst;solution strategize ;IB Investment;success Riel;45368;false;false;Central Front-line;true;false;2022-04-18T19:33:12;Avon Developer ;2022-04-19T01:11:14;Indiana
8;Upgradable;SMTP;48511;THX wireless;Clothing streamline;6th Executive;intelligence cr;96438;false;true;port maximize;true;false;2022-04-19T03:33:49;Points;2022-04-18T21:01:38;Berkshire Glove
9;knowledge executive;Sleek Metal fir;84188;Mobility overri;Cliffs solutions lea;Officer;Car Tuvalu syst;62988;false;true;Ouguiya Hat;false;true;2022-04-18T20:53:36;teal withdrawal;2022-04-19T14:32:25;Granite Organiz
10;enterprise Optimization calculate;Cotton architec;51952;online Engineer;Dirham;Rico scale;Washington;12626;false;true;standardization Global Dollar;false;true;2022-04-18T22:52:22;Corporate;2022-04-19T13:04:09;Intelligent
